index,indices,action,type,query,urls,responses
0,"[35359, 31634, 31961, 34369, 33443, 33239, 34699, 35013, 32918, 34974]",bounce,train,Does the object bounce?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4884.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/235.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/665.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3637.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2488.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2246.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4064.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4455.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1845.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4409.mp4""]",0
1,"[58291, 59140, 60051, 59838, 58102, 59468, 60353, 59717, 59483, 59546]",bump,train,Does the object get bumped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1009.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2655.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4551.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4123.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/631.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3305.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5154.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3867.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3336.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3471.mp4""]",0
2,"[10852, 6684, 9854, 9275, 8587, 11572, 8870, 7520, 11551, 7175]",carry,train,Does the object get carried?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4278.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/110.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3280.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2701.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2013.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4998.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2296.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/946.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4977.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/601.mp4""]",0
3,"[42100, 44611, 44567, 44297, 44815, 43407, 45711, 44887, 42846, 44547]",drop,train,Does the object get dropped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/150.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3275.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3220.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2893.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3527.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1784.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4666.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3616.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1094.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3192.mp4""]",0
4,"[37463, 40560, 37360, 40813, 38874, 40236, 40036, 37268, 38312, 40769]",fall,train,Does the object fall?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/950.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4802.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/825.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5117.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2700.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4403.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4157.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/713.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2011.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5067.mp4""]",0
5,"[50651, 50465, 50193, 50121, 48317, 50141, 50685, 50054, 48952, 49594]",fall off,train,Does the object fall off something?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4252.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4022.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3664.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3575.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1346.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3597.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4298.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3492.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2138.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2932.mp4""]",0
6,"[52836, 52709, 52834, 53289, 54976, 55820, 53999, 54647, 56467, 55197]",fall over,train,Does the object fall over?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/405.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/239.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/403.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/975.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3069.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4128.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1855.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2660.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4929.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3337.mp4""]",0
7,"[72113, 71785, 74322, 72020, 74723, 71512, 72446, 73889, 71873, 75533]",flip,train,Is the object flipping?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1143.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/815.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3352.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1050.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3753.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/542.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1476.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2919.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/903.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4563.mp4""]",0
8,"[2066, 582, 2040, 2486, 2132, 2042, 1716, 2419, 732, 1471]",hit,train,Does the object get hit?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4154.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1159.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4102.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4990.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4272.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3383.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4841.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1462.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2892.mp4""]",0
9,"[66806, 66506, 66717, 66547, 66732, 66509, 66523, 66350, 66677, 66578]",pick up,train,Does the object get picked up?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4169.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1569.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3419.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1967.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3562.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1601.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1756.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/27.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3105.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2185.mp4""]",0
10,"[69520, 69713, 69027, 69263, 68707, 69595, 69885, 67835, 70263, 68267]",push,train,Does the object get pushed?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3644.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4082.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2633.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3104.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2042.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3835.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4415.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/302.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5182.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1161.mp4""]",0
11,"[67226, 67497, 67097, 67176, 67515, 67222, 67343, 67171, 67528, 67341]",put down,train,Does the object get put down?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1934.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4527.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/478.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1379.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4681.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1897.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3092.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1321.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4852.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3070.mp4""]",0
12,"[21935, 22217, 22722, 23167, 21624, 21702, 21817, 23037, 20238, 23318]",roll,train,Does the object roll?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2865.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3206.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3844.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4405.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2468.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2572.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2718.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4242.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/763.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4596.mp4""]",0
13,"[4407, 3958, 3770, 3310, 5543, 3369, 5256, 4708, 4341, 4307]",slap,train,Does the object get slapped?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2240.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1326.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/971.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/46.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4533.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/164.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3946.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2794.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2110.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2036.mp4""]",0
14,"[62741, 61377, 62581, 61576, 65216, 63445, 63026, 64346, 61080, 62312]",slide,train,Does the object slide?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2099.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/390.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1888.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/645.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5172.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2963.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2436.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4091.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/10.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1554.mp4""]",3
15,"[25413, 25846, 30003, 26535, 26260, 28186, 29212, 26081, 29589, 27863]",spin,train,Does the object spin?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/501.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/934.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5091.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1623.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1348.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3274.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4300.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1169.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4677.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2951.mp4""]",3
16,"[81636, 82460, 79736, 79059, 82368, 78722, 79343, 79759, 81712, 78415]",start,train,Does the object start moving?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4131.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4955.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2231.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1554.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4863.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1217.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1838.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2254.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4207.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/910.mp4""]",3
17,"[87527, 85353, 85856, 86554, 88083, 88061, 88617, 84110, 86176, 86359]",stop,train,Does the object stop moving?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3487.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1313.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1816.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2514.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4043.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4021.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4577.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/70.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2136.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2319.mp4""]",3
18,"[91556, 91427, 91330, 91593, 91667, 91428, 91302, 91665, 91527, 91605]",throw,train,Does the object get thrown?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3552.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2268.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1298.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3878.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4608.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2281.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/976.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4587.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3277.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3961.mp4""]",3
19,"[99725, 99437, 100598, 101262, 97420, 100837, 100895, 101122, 97777, 100223]",tip,train,Does the object tip?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3255.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2907.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4355.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5181.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/394.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4660.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4729.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5008.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/846.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3891.mp4""]",3
20,"[92507, 95080, 92189, 92275, 93681, 91926, 95452, 95983, 92814, 94111]",topple,train,Does the object topple?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/844.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4045.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/445.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/554.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2304.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/108.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4505.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/5167.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1215.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2833.mp4""]",3
21,"[90942, 90639, 90683, 90584, 90833, 90727, 90841, 90620, 91000, 90784]",toss,train,Does the object get tossed?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3720.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/624.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1136.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/41.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2679.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1682.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2798.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/435.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4308.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2183.mp4""]",3
22,"[106063, 104568, 105101, 102699, 104037, 103526, 102628, 104132, 102594, 105917]",tumble,train,Does the object tumble?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4604.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2736.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3389.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/406.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2085.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1439.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/315.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2195.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/269.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4419.mp4""]",3
23,"[13764, 15742, 15442, 17323, 14812, 17186, 15738, 17122, 16478, 13167]",turn,train,Is the object turning?,"[""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/655.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2633.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2333.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4214.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/1703.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4077.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/2629.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/4013.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/3369.mp4"", ""https://plunarlabcit.services.brown.edu/crowdsourcing/videos/58.mp4""]",3
